曜日,日付,収集区域1,収集区域2,収集区域3,収集区域4,収集区域5,収集区域6,収集区域7,収集区域8,収集区域9,収集区域10,収集区域11,収集区域12,収集区域13,収集区域14,収集区域15,収集区域16,収集区域21,収集区域22,収集区域23,収集区域24,収集区域25,収集区域26,収集区域27,収集区域28,収集区域29,収集区域30,収集区域31,収集区域32,収集区域41,収集区域42,収集区域44,収集区域45,収集区域46,収集区域48,収集区域49,収集区域50,収集区域51
水,2026/7/22,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,特定,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,,不燃・ペット,びん・かん,プラマーク,特定,,プラマーク,不燃・ペット,不燃・ペット,特定,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・かん・特定,プラマーク,,
木,2026/7/23,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,,可燃,,,可燃,,可燃・プラ・かん・特定
金,2026/7/24,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,プラマーク,不燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,可燃,可燃,,,,,可燃・プラ・かん・特定,
土,2026/7/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/7/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/7/27,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,特定,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,特定,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2026/7/28,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,びん・かん・ペット,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2026/7/29,びん・かん・ペット,不燃,,不燃,プラマーク,,特定,プラマーク,不燃,,びん・かん・ペット,プラマーク,,,びん・かん・ペット,プラマーク,,不燃・ペット,びん・かん,不燃・ペット,プラマーク,,特定,プラマーク,特定,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2026/7/30,可燃,,可燃,特定,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2026/7/31,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
